iter	F1	Logloss
0	0.9183673469	0.6765825115
1	0.9137055838	0.6626855361
2	0.9160305344	0.6474180556
3	0.9160305344	0.6329796326
4	0.9137055838	0.6199963223
5	0.9137055838	0.6060818528
6	0.9160305344	0.5877691808
7	0.9207161125	0.5731836193
8	0.9207161125	0.5621334906
9	0.9207161125	0.5500487705
10	0.9207161125	0.5414515935
11	0.9254498715	0.5317158855
12	0.9254498715	0.5227360652
13	0.9254498715	0.5131196846
14	0.9278350515	0.5059728859
15	0.9278350515	0.4964295694
16	0.9230769231	0.4898438802
17	0.9278350515	0.4808686037
18	0.9302325581	0.4712730552
19	0.9278350515	0.4654559833
20	0.9302325581	0.4583916915
21	0.9254498715	0.4495705242
22	0.9230769231	0.4433658569
23	0.9254498715	0.4369227109
24	0.9254498715	0.4308365138
25	0.9230769231	0.4247427048
26	0.9230769231	0.4204825889
27	0.9230769231	0.4131440308
28	0.9230769231	0.4083549975
29	0.9230769231	0.4022447475
30	0.9254498715	0.3951618143
31	0.932642487	0.3905125984
32	0.9350649351	0.3844673752
33	0.9350649351	0.3786830261
34	0.9350649351	0.3752049363
35	0.9350649351	0.3718209828
36	0.9350649351	0.3677404614
37	0.9350649351	0.3648908594
38	0.9350649351	0.3603125647
39	0.9350649351	0.3578039295
40	0.9350649351	0.3541023626
41	0.9350649351	0.3514979446
42	0.9350649351	0.3469601257
43	0.9350649351	0.3433531156
44	0.9350649351	0.3407204147
45	0.9350649351	0.3373378764
46	0.9350649351	0.3344930997
47	0.9350649351	0.3318064692
48	0.9350649351	0.3281879315
49	0.9350649351	0.3247227995
50	0.9350649351	0.3219778319
51	0.9375	0.3184212315
52	0.9375	0.3158457502
53	0.9375	0.3128715873
54	0.9375	0.3098581703
55	0.9399477807	0.3068833852
56	0.942408377	0.3034779536
57	0.942408377	0.3008230859
58	0.942408377	0.2986110799
59	0.942408377	0.2956568755
60	0.942408377	0.2928072302
61	0.9448818898	0.2903159878
62	0.9448818898	0.2873991351
63	0.9448818898	0.2846589433
64	0.9448818898	0.2822715148
65	0.9448818898	0.279811367
66	0.9473684211	0.2773270531
67	0.9473684211	0.2745939997
68	0.9473684211	0.2719448206
69	0.9473684211	0.2694440502
70	0.9473684211	0.2669303133
71	0.9523809524	0.2648717745
72	0.9523809524	0.2626613366
73	0.9523809524	0.2609300861
74	0.9523809524	0.2590135077
75	0.9523809524	0.2571061484
76	0.9523809524	0.2549624812
77	0.9523809524	0.2531663352
78	0.9523809524	0.2510936433
79	0.9549071618	0.2495435506
80	0.9549071618	0.2475157075
81	0.9549071618	0.2455698732
82	0.9574468085	0.2439535015
83	0.96	0.2420951895
84	0.96	0.2402789449
85	0.96	0.2384931092
86	0.96	0.2367489198
87	0.96	0.2353037719
88	0.96	0.2336275289
89	0.96	0.2319865692
90	0.96	0.2304596996
91	0.96	0.2288846709
92	0.96	0.227344409
93	0.9625668449	0.2258377997
94	0.9651474531	0.2245747087
95	0.9651474531	0.2231245804
96	0.9651474531	0.2216834463
97	0.9651474531	0.2202714823
98	0.9651474531	0.2188878708
99	0.9651474531	0.217545401
