ProteinA,ProteinB,Label
O00425,NONHSAT122124,1
Q07955,NONHSAT122124,1
Q9NZI8,NONHSAT122124,1
P26599,NONHSAT122124,1
P61964,NONHSAT122124,1
Q9Y6M1,NONHSAT122124,1
Q9UKV8,NONHSAT036719,1
P35637,NONHSAT036719,1
O00425,NONHSAT036719,1
Q07955,NONHSAT036719,1
Q9NZI8,NONHSAT036719,1
P26599,NONHSAT036719,1
Q9Y6M1,NONHSAT036719,1
Q15717,NONHSAT036719,1
Q07955,NONHSAT000091,1
P26599,NONHSAT000091,1
P35637,NONHSAT000204,1
Q07955,NONHSAT000204,1
Q9UKV8,NONHSAT001062,1
Q15717,NONHSAT001062,1
Q13148,NONHSAT001159,1
O00425,NONHSAT001159,1
O00425,NONHSAT001461,1
Q9Y6M1,NONHSAT001461,1
Q07955,NONHSAT001463,1
P35637,NONHSAT001511,1
O00425,NONHSAT001511,1
Q9NZI8,NONHSAT001511,1
P61964,NONHSAT001511,1
Q9Y6M1,NONHSAT001511,1
Q15717,NONHSAT001511,1
P35637,NONHSAT001953,1
O00425,NONHSAT001953,1
Q9NZI8,NONHSAT001953,1
P26599,NONHSAT001953,1
Q9Y6M1,NONHSAT001953,1
Q15717,NONHSAT001953,1
P31483,NONHSAT001953,1
Q9UKV8,NONHSAT001993,1
Q9H9G7,NONHSAT001993,1
Q9UL18,NONHSAT001993,1
Q9HCK5,NONHSAT001993,1
Q15717,NONHSAT001993,1
Q07955,NONHSAT002344,1
Q15717,NONHSAT002344,1
Q9UKV8,NONHSAT002390,1
O00425,NONHSAT002390,1
Q07955,NONHSAT002390,1
Q9NZI8,NONHSAT002390,1
Q9H9G7,NONHSAT002390,1
Q9UL18,NONHSAT002390,1
Q9HCK5,NONHSAT002390,1
Q9Y6M1,NONHSAT002390,1
Q9UKV8,NONHSAT002564,1
Q15717,NONHSAT002564,1
Q9UKV8,NONHSAT002658,1
Q15717,NONHSAT002658,1
Q9UKV8,NONHSAT003081,1
O00425,NONHSAT003081,1
Q9NZI8,NONHSAT003081,1
Q9H9G7,NONHSAT003081,1
Q9UL18,NONHSAT003081,1
Q9HCK5,NONHSAT003081,1
Q9Y6M1,NONHSAT003081,1
Q8NDV7,NONHSAT003081,1
Q15717,NONHSAT003081,1
P31483,NONHSAT003081,1
Q8NDV7,NONHSAT004374,1
P35637,NONHSAT004412,1
Q15717,NONHSAT004412,1
Q15717,NONHSAT006360,1
P31483,NONHSAT006360,1
Q9UKV8,NONHSAT007698,1
P35637,NONHSAT007698,1
O00425,NONHSAT007698,1
Q07955,NONHSAT007698,1
Q9NZI8,NONHSAT007698,1
P26599,NONHSAT007698,1
Q9H9G7,NONHSAT007698,1
Q9UL18,NONHSAT007698,1
Q9HCK5,NONHSAT007698,1
Q9Y6M1,NONHSAT007698,1
Q15717,NONHSAT007698,1
P31483,NONHSAT007698,1
Q13148,NONHSAT008282,1
Q07955,NONHSAT008282,1
