ProteinA,ProteinB
NONHSAT000090,O15042
NONHSAT000090,O60306
NONHSAT000090,O60341
NONHSAT000090,O95707
NONHSAT000090,P01189
NONHSAT000090,P01344
NONHSAT000090,P04150
NONHSAT000090,P04637
NONHSAT000090,P05455
NONHSAT000090,P07910
NONHSAT000090,P09132
NONHSAT000090,P14210
NONHSAT000090,P14859
NONHSAT000090,P23246
NONHSAT000090,P35453
NONHSAT000090,P55899
NONHSAT000090,P61011
NONHSAT000090,P62140
NONHSAT000090,P78345
NONHSAT000090,P84243
NONHSAT000090,Q01844
NONHSAT000090,Q13285
NONHSAT000090,Q13952
NONHSAT000090,Q15233
NONHSAT000090,Q15287
NONHSAT000090,Q15910
NONHSAT000090,Q4G0J3
NONHSAT000090,Q8IUX4
NONHSAT000090,Q8IYB3
NONHSAT000090,Q8WXF1
NONHSAT000090,Q92994
NONHSAT000090,Q96BK5
NONHSAT000090,Q96PU8
NONHSAT000090,Q99575
NONHSAT000090,Q9H633
NONHSAT000090,Q9HCE1
NONHSAT000090,Q9HCJ0
NONHSAT000090,Q9UKL0
NONHSAT000090,Q9UPQ9
NONHSAT000090,P56178
NONHSAT000090,P08151
NONHSAT000090,Q9H9S0
NONHSAT000090,Q99988
NONHSAT000090,P25490
NONHSAT000090,P49711
NONHSAT000090,P31260
NONHSAT000090,Q00839
NONHSAT000090,P49913
NONHSAT000090,Q15465
NONHSAT000090,P48431
NONHSAT000090,O43184
NONHSAT000090,Q7RTS3
NONHSAT000090,P78509
NONHSAT000091,O15042
NONHSAT000091,O60306
NONHSAT000091,O60341
NONHSAT000091,O95707
NONHSAT000091,P01189
NONHSAT000091,P01344
NONHSAT000091,P04150
NONHSAT000091,P04637
NONHSAT000091,P05455
NONHSAT000091,P07910
NONHSAT000091,P09132
NONHSAT000091,P14210
NONHSAT000091,P14859
NONHSAT000091,P23246
NONHSAT000091,P35453
NONHSAT000091,P55899
NONHSAT000091,P61011
NONHSAT000091,P62140
NONHSAT000091,P78345
NONHSAT000091,P84243
NONHSAT000091,Q01844
NONHSAT000091,Q13285
NONHSAT000091,Q13952
NONHSAT000091,Q15233
NONHSAT000091,Q15287
NONHSAT000091,Q15910
NONHSAT000091,Q4G0J3
NONHSAT000091,Q8IUX4
NONHSAT000091,Q8IYB3
NONHSAT000091,Q8WXF1
NONHSAT000091,Q92994
NONHSAT000091,Q96BK5
