ProteinA,ProteinB,Label
AthlncRNA10,15229321,1
AthlncRNA10,15229884,1
AthlncRNA10,22328551,1
AthlncRNA102,18423684,1
AthlncRNA102,22328551,1
AthlncRNA102,15237716,1
AthlncRNA104,79326195,1
AthlncRNA105,15234010,1
AthlncRNA105,79320777,1
AthlncRNA105,22328551,1
AthlncRNA105,15224366,1
AthlncRNA105,15224217,1
AthlncRNA105,15223768,1
AthlncRNA105,15218779,1
AthlncRNA109,22328551,1
AthlncRNA110,22328551,1
AthlncRNA110,22328624,1
AthlncRNA110,22329999,1
AthlncRNA110,30678085,1
AthlncRNA110,30680456,1
AthlncRNA110,30694526,1
AthlncRNA110,79320777,1
AthlncRNA110,79326195,1
AthlncRNA110,18423684,1
AthlncRNA110,15237716,1
AthlncRNA110,15218779,1
AthlncRNA110,15221761,1
AthlncRNA110,15223768,1
AthlncRNA110,15224217,1
AthlncRNA110,15224366,1
AthlncRNA110,15226605,1
AthlncRNA110,15227722,1
AthlncRNA110,15228098,1
AthlncRNA110,15229884,1
AthlncRNA110,15234010,1
AthlncRNA110,15241028,1
AthlncRNA110,18398061,1
AthlncRNA110,18400210,1
AthlncRNA110,18410591,1
AthlncRNA110,30694529,1
AthlncRNA113,22328551,1
AthlncRNA12,42572443,1
AthlncRNA12,15232459,1
AthlncRNA12,15218972,1
AthlncRNA125,30694529,1
AthlncRNA125,30694526,1
AthlncRNA125,30680456,1
AthlncRNA125,22329999,1
AthlncRNA125,18398061,1
AthlncRNA125,79326195,1
AthlncRNA125,18410591,1
AthlncRNA126,22329999,1
AthlncRNA128,18423684,1
AthlncRNA128,22328551,1
AthlncRNA129,15229743,1
AthlncRNA129,18400210,1
AthlncRNA129,18410591,1
AthlncRNA129,22328624,1
AthlncRNA129,22329999,1
AthlncRNA129,22330665,1
AthlncRNA129,30678085,1
AthlncRNA129,30680456,1
AthlncRNA129,30694526,1
AthlncRNA129,30694529,1
AthlncRNA129,42572443,1
AthlncRNA129,79320777,1
AthlncRNA129,18398061,1
AthlncRNA129,15241028,1
AthlncRNA129,15229321,1
AthlncRNA129,15228098,1
AthlncRNA129,15227722,1
AthlncRNA129,15226605,1
AthlncRNA129,15224366,1
AthlncRNA129,15224217,1
AthlncRNA129,15229884,1
AthlncRNA129,15223768,1
AthlncRNA129,15221761,1
AthlncRNA129,15232459,1
AthlncRNA129,15234010,1
AthlncRNA129,15240641,1
AthlncRNA129,22328551,1
AthlncRNA129,15218779,1
AthlncRNA138,15226605,1
AthlncRNA138,15224366,1
AthlncRNA138,15223768,1
AthlncRNA138,15227722,1
AthlncRNA138,15218972,1
AthlncRNA138,15229321,1
AthlncRNA138,15232459,1
AthlncRNA138,22330665,1
AthlncRNA138,30678085,1
AthlncRNA138,30682553,1
AthlncRNA138,42571149,1
AthlncRNA138,42572443,1
AthlncRNA138,79320777,1
AthlncRNA138,15218779,1
AthlncRNA138,15233167,1
AthlncRNA138,15228098,1
AthlncRNA138,15224217,1
AthlncRNA14,22328551,1
AthlncRNA141,22328551,1
AthlncRNA148,30680456,1
AthlncRNA148,30682553,1
AthlncRNA148,15224217,1
AthlncRNA148,30694526,1
AthlncRNA148,30694529,1
AthlncRNA148,42571149,1
AthlncRNA148,79320777,1
AthlncRNA148,79326195,1
AthlncRNA148,30678085,1
AthlncRNA148,42572443,1
AthlncRNA148,22330665,1
AthlncRNA148,22328624,1
AthlncRNA148,15218779,1
AthlncRNA148,15221761,1
AthlncRNA148,15232459,1
